# Created by f3dm-l4s 0.1.0 using f3dmlib 1.8.24.3
# Force has been calculated on a mesh of 42184 nodes (28465 elements)
# using quadratic tetrahedral elements.
#
# Grid data:
# Center of the pox: 0.75 0.25 3 
# Box size: 1.500000 0.500000 2.000000 
# Number of points: 100 1 100 
#
# x  y  z  Fx  Fy  Fz
 0.000000000000000e+00      2.500000000000000e-01     3.717171717171728e+00      2.129823896470651e-04      1.266700951069843e-03     4.897777568800245e-01
 0.000000000000000e+00      2.500000000000000e-01     3.737373737373749e+00      2.586293235864456e-04      1.379063397219937e-03     4.897727995761027e-01
 0.000000000000000e+00      2.500000000000000e-01     3.757575757575769e+00     -1.145094663524970e-03      5.910820163372854e-04     4.900060032341675e-01
 0.000000000000000e+00      2.500000000000000e-01     3.777777777777789e+00     -8.122137209943814e-04      1.781395773711059e-03     4.900133324279229e-01
 0.000000000000000e+00      2.500000000000000e-01     3.797979797979810e+00     -4.793327784639034e-04      2.971709531084499e-03     4.900206616216784e-01
 0.000000000000000e+00      2.500000000000000e-01     3.818181818181830e+00     -1.464518359334255e-04      4.162023288458272e-03     4.900279908154337e-01
 0.000000000000000e+00      2.500000000000000e-01     3.838383838383850e+00      1.864291065968304e-04      5.352337045831712e-03     4.900353200091893e-01
 0.000000000000000e+00      2.500000000000000e-01     3.858585858585871e+00      5.193100491273084e-04      6.542650803205152e-03     4.900426492029448e-01
 0.000000000000000e+00      2.500000000000000e-01     3.878787878787891e+00      8.521909916578974e-04      7.732964560579036e-03     4.900499783967002e-01
 0.000000000000000e+00      2.500000000000000e-01     3.898989898989911e+00      1.966141455809749e-03      1.303113616524799e-02     4.851715912263897e-01
 0.000000000000000e+00      2.500000000000000e-01     3.919191919191932e+00      2.840302023445831e-03      1.744129127853680e-02     4.943575041194250e-01
 0.000000000000000e+00      2.500000000000000e-01     3.939393939393952e+00      3.714462591082171e-03      2.185144639182612e-02     5.035434170124597e-01
 0.000000000000000e+00      2.500000000000000e-01     3.959595959595972e+00      4.588623158718247e-03      2.626160150511495e-02     5.127293299054949e-01
 0.000000000000000e+00      2.500000000000000e-01     3.979797979797993e+00      5.462783726354600e-03      3.067175661840425e-02     5.219152427985296e-01
 0.000000000000000e+00      2.500000000000000e-01     4.000000000000012e+00      6.336944293990690e-03      3.508191173169310e-02     5.311011556915646e-01

 1.515151515151515e-02      2.500000000000000e-01     2.000000000000000e+00     -2.223645587159264e-02     -2.029736503182278e-02     5.553042884095233e-01
 1.515151515151515e-02      2.500000000000000e-01     2.020202020202020e+00     -1.492152950055680e-02     -1.572136061706098e-02     5.480697579700455e-01
 1.515151515151515e-02      2.500000000000000e-01     2.040404040404041e+00     -7.275416654094126e-03     -1.328165101768775e-02     5.427123464954975e-01
 1.515151515151515e-02      2.500000000000000e-01     2.060606060606061e+00     -1.848075812335436e-03     -1.122160023893426e-02     5.357882080973487e-01
 1.515151515151515e-02      2.500000000000000e-01     2.080808080808081e+00     -9.136465761004631e-04     -1.020518297822463e-02     5.308720311747964e-01
 1.515151515151515e-02      2.500000000000000e-01     2.101010101010102e+00      2.886543690486243e-05     -4.916455140152765e-03     5.297508845856082e-01
 1.515151515151515e-02      2.500000000000000e-01     2.121212121212122e+00      4.909419962391415e-04     -3.625667380793840e-03     5.292315137710926e-01
 1.515151515151515e-02      2.500000000000000e-01     2.141414141414142e+00      7.880749741596138e-04     -2.140828943132000e-03     5.278547280883380e-01
 1.515151515151515e-02      2.500000000000000e-01     2.161616161616163e+00      1.030046196117754e-03     -1.392097846176069e-03     5.268652508812313e-01
 1.515151515151515e-02      2.500000000000000e-01     2.181818181818183e+00      1.144736441748118e-03     -9.149372466243921e-04     5.254112959845642e-01
 1.515151515151515e-02      2.500000000000000e-01     2.202020202020203e+00      1.222485364061943e-03     -7.510705882066704e-04     5.236367381642871e-01
 1.515151515151515e-02      2.500000000000000e-01     2.222222222222224e+00      1.300234286382818e-03     -5.872039297812881e-04     5.218621803440149e-01
 1.515151515151515e-02      2.500000000000000e-01     2.242424242424244e+00      1.364266656317420e-03     -4.405503928262156e-04     5.199623377476903e-01
 1.515151515151515e-02      2.500000000000000e-01     2.262626262626264e+00      1.315463019529855e-03     -3.432840615113786e-04     5.183511388652340e-01
 1.515151515151515e-02      2.500000000000000e-01     2.282828282828285e+00      1.287311157065294e-03     -2.760632381848399e-04     5.165727498484454e-01
 1.515151515151515e-02      2.500000000000000e-01     2.303030303030305e+00      1.289987249124814e-03     -2.227079678019210e-04     5.148529511399408e-01
 1.515151515151515e-02      2.500000000000000e-01     2.323232323232325e+00      1.200760218024594e-03     -1.885259418697993e-04     5.132193426118872e-01
 1.515151515151515e-02      2.500000000000000e-01     2.343434343434346e+00      1.111778503878003e-03     -1.693122332039332e-04     5.116611230780415e-01
 1.515151515151515e-02      2.500000000000000e-01     2.363636363636366e+00      1.162328260469969e-03     -1.993901499910064e-04     5.102831632960626e-01
 1.515151515151515e-02      2.500000000000000e-01     2.383838383838386e+00      1.113051652522595e-03     -2.061906994999946e-04     5.086867242433776e-01
 1.515151515151515e-02      2.500000000000000e-01     2.404040404040407e+00      9.936028626509330e-04     -7.909709619086103e-05     5.074001731580162e-01
 1.515151515151515e-02      2.500000000000000e-01     2.424242424242427e+00      9.483928854166629e-04     -8.061207309040253e-05     5.061434177362302e-01
 1.515151515151515e-02      2.500000000000000e-01     2.444444444444447e+00      8.680084086378076e-04     -5.423462355169661e-05     5.049016792981823e-01
 1.515151515151515e-02      2.500000000000000e-01     2.464646464646468e+00      7.914041068062816e-04     -3.586001237443348e-05     5.037398915651532e-01
 1.515151515151515e-02      2.500000000000000e-01     2.484848484848488e+00      7.220137543853949e-04     -5.468703566269273e-05     5.027727251913665e-01
 1.515151515151515e-02      2.500000000000000e-01     2.505050505050508e+00      6.280635235165755e-04     -4.993349072313080e-05     5.017761901510878e-01
 1.515151515151515e-02      2.500000000000000e-01     2.525252525252529e+00      6.760993878340621e-04     -3.138414819287005e-05     5.010100229896859e-01
 1.515151515151515e-02      2.500000000000000e-01     2.545454545454549e+00      6.163211368910015e-04     -1.507201603639929e-05     5.000255886265770e-01
 1.515151515151515e-02      2.500000000000000e-01     2.565656565656569e+00      5.447565045038072e-04     -2.410226396798443e-06     4.992724954589810e-01
 1.515151515151515e-02      2.500000000000000e-01     2.585858585858590e+00      5.090417513526346e-04     -2.506650087963358e-05     4.985111151398256e-01
 1.515151515151515e-02      2.500000000000000e-01     2.606060606060610e+00      4.790239627188997e-04     -4.696374652182755e-05     4.978920644450875e-01
 1.515151515151515e-02      2.500000000000000e-01     2.626262626262630e+00      4.641283320153677e-04     -2.539764850273407e-05     4.972362069636552e-01
 1.515151515151515e-02      2.500000000000000e-01     2.646464646464651e+00      4.709591004962779e-04      1.647616652084016e-05     4.967270880446376e-01
