# Ion number density
# The last    3 ion types are fixed
# Average over     744960 steps
# z (au)        total        A            Im1          Im2          Im3          N            C            Me           C1           C2           P         
152.361790483  0.004949466  0.000100793  0.000111312  0.000114652  0.000108888  0.001523145  0.001501503  0.001489172  0.000000000  0.000000000  0.000000000
153.250197424  0.004946136  0.000101770  0.000106034  0.000112503  0.000109860  0.001504690  0.001502019  0.001509261  0.000000000  0.000000000  0.000000000
154.138604366  0.004963254  0.000103499  0.000104384  0.000108523  0.000104199  0.001496865  0.001516359  0.001529424  0.000000000  0.000000000  0.000000000
155.027011308  0.004967059  0.000102112  0.000099974  0.000105601  0.000105398  0.001500396  0.001530966  0.001522612  0.000000000  0.000000000  0.000000000
155.915418249  0.004955111  0.000102371  0.000106758  0.000104439  0.000098167  0.001498785  0.001513727  0.001530864  0.000000000  0.000000000  0.000000000
156.803825191  0.004957935  0.000105542  0.000106371  0.000101750  0.000095285  0.001501976  0.001516741  0.001530270  0.000000000  0.000000000  0.000000000
157.692232132  0.004973204  0.000105336  0.000101176  0.000099267  0.000089603  0.001528007  0.001523713  0.001526103  0.000000000  0.000000000  0.000000000
158.580639074  0.004964974  0.000105270  0.000096171  0.000099775  0.000088621  0.001533887  0.001522633  0.001518618  0.000000000  0.000000000  0.000000000
159.469046016  0.004948504  0.000108528  0.000091024  0.000101330  0.000084534  0.001532470  0.001514868  0.001515751  0.000000000  0.000000000  0.000000000
160.357452957  0.004947274  0.000111058  0.000082194  0.000095298  0.000085875  0.001511768  0.001521092  0.001539988  0.000000000  0.000000000  0.000000000
161.245859899  0.004994430  0.000110084  0.000081315  0.000093918  0.000090390  0.001505104  0.001537697  0.001575922  0.000000000  0.000000000  0.000000000
162.134266840  0.004997524  0.000104315  0.000079271  0.000095816  0.000088353  0.001513296  0.001544322  0.001572151  0.000000000  0.000000000  0.000000000
163.022673782  0.005002287  0.000095670  0.000083596  0.000090353  0.000083382  0.001525899  0.001552561  0.001570826  0.000000000  0.000000000  0.000000000
163.911080724  0.004989673  0.000096377  0.000085975  0.000087275  0.000083497  0.001533053  0.001548749  0.001554748  0.000000000  0.000000000  0.000000000
164.799487665  0.004999501  0.000096056  0.000085928  0.000088869  0.000086055  0.001545367  0.001544909  0.001552316  0.000000000  0.000000000  0.000000000
165.687894607  0.004987198  0.000099819  0.000090743  0.000087798  0.000089394  0.001533761  0.001537547  0.001548136  0.000000000  0.000000000  0.000000000
